"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosDirecciones.tsx", "TypeScript JSX", 0, 0, 0, 0, 163, 19, 182
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosDocum.tsx", "TypeScript JSX", 0, 161, 0, 0, 11, 25, 197
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosFirmas.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 20, 169
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosPuntosVenta.tsx", "TypeScript JSX", 0, 150, 0, 0, 11, 20, 181
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosTratamAdic.tsx", "TypeScript JSX", 0, 152, 0, 0, 7, 23, 182
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MProyectosUsuarios.tsx", "TypeScript JSX", 0, 179, 0, 0, 9, 28, 216
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MPuntosVenta.tsx", "TypeScript JSX", 0, 168, 0, 0, 7, 20, 195
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MReservaArmazones.tsx", "TypeScript JSX", 0, 156, 0, 0, 15, 24, 195
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MUsuarios.tsx", "TypeScript JSX", 0, 226, 0, 0, 15, 26, 267
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MVitrinas.tsx", "TypeScript JSX", 0, 144, 0, 0, 7, 22, 173
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\MVitrinasArmazones.tsx", "TypeScript JSX", 0, 180, 0, 0, 12, 26, 218
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\views\mantenedores\index.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\ListBoxTipoSlice.ts", "TypeScript", 195, 0, 0, 0, 18, 18, 231
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\OTAreasSlice.ts", "TypeScript", 71, 0, 0, 0, 0, 8, 79
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\OTSlice.ts", "TypeScript", 238, 0, 0, 0, 27, 33, 298
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\funcionalidadesSlice.ts", "TypeScript", 44, 0, 0, 0, 0, 6, 50
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 9
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\listBoxSlice.ts", "TypeScript", 15, 0, 0, 0, 1, 8, 24
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\userSlice.ts", "TypeScript", 43, 0, 0, 0, 0, 5, 48
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\slices\utilsSlice.ts", "TypeScript", 111, 0, 0, 0, 5, 14, 130
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\redux\store.ts", "TypeScript", 39, 0, 0, 0, 1, 5, 45
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 5916, 44695, 937, 1, 6565, 8271, 66385
